Match Id,Transcript,Toxicity,Toxicity Ranking
7595214617,"player_slot 128: 鹤壁呢
player_slot 128: 何必呢
player_slot 128: gg
player_slot 128: 666
player_slot 128: 这么多人
player_slot 128: 。。
player_slot 4: 速度推了
player_slot 128: 一波了
",No Toxicity,1
7595214413,"player_slot 0: 我喜欢
player_slot 3: 对面 你们是龙骑的上分车队嘛
",No Toxicity,1
7595205913,"player_slot 3: ？
",No Toxicity,1
7595200912,"player_slot 1: f
player_slot 1: а мы помощи промилы у вас
player_slot 2: умри лион 
player_slot 131: НЕ 
player_slot 2: ДА
player_slot 131: осник хиллит
player_slot 2: так он вам катку выиграл
player_slot 131: ок
player_slot 2: от него больше всего импакта
player_slot 2: у меня бх 4
player_slot 131: ББ
player_slot 131: ))
player_slot 2: gg
player_slot 2: ez mid
player_slot 132: сосос
player_slot 2: да мне насрать уже
player_slot 132: соло
player_slot 2: я по фану
player_slot 128: GG
",Mild Toxicity,3
7595195710,"player_slot 3: rude
player_slot 3: gg
player_slot 3: how did i get a double kill, i am dead
player_slot 132: bombs
player_slot 130: gg
player_slot 3: gg
player_slot 0: GG 
player_slot 132: gg
",Low Toxicity,2
7595193510,"player_slot 131:  
player_slot 1: давай вап
player_slot 0: )))
player_slot 130: спасибо за игру
player_slot 0: СПС
",No Toxicity,1
7510744916,,Undetermined,0
7510732809,"player_slot 128: Приветики
player_slot 3: ку
player_slot 130: СУКА
player_slot 132: давай бро
player_slot 1: аащзазЗАЗАЗАЗАВЗВЗХА
player_slot 129: джага 
player_slot 129: хватит меня трахать 
player_slot 129: ну это пиздец
player_slot 0: :)
player_slot 1: ПРОСТИ
player_slot 129: Я ЩАС НАХУЙ ПЛАКАТЬ БУДУ 
player_slot 1: (
player_slot 0: не надо 
player_slot 0: я бы с таким войдом сам бы плакал 
player_slot 0: не повезло в этой 
player_slot 132: вообще не повезло
player_slot 129: ДАА
player_slot 0: повезет некст 
player_slot 0: gg
player_slot 3: EZ
player_slot 1: GG, WP
player_slot 129: УДАЧИ 
",Mild Toxicity,3
7510727113,"player_slot 4: фурион керри?
player_slot 4: аппарат
player_slot 4: кто керри у вас
player_slot 128: я 
player_slot 4: реп ск
player_slot 129: в 4 прибежали меня убить?
player_slot 129: гении
player_slot 129: вам нижняя очень нравится
player_slot 3: лол я против вас соло стоял
player_slot 129: лол зевс в начале 0
player_slot 3: та ну
player_slot 3: аххаха а гримсрок 
player_slot 129: бл это прикол?
player_slot 2: не
player_slot 3: гнида волосатая
player_slot 3: слава россии
player_slot 129: +
player_slot 4: слава нации
player_slot 129: одобряю
player_slot 3: хохлишка
player_slot 2: орк
player_slot 128: короче я в кері піду
player_slot 4: ХААХАХААХА
player_slot 2: правильно
player_slot 4: а нахуй
player_slot 3: фулл вывоз
player_slot 4: пойдешь
player_slot 3: рил фулл вывоз
player_slot 2: ну и шо лина
player_slot 129: од умеешь расставлять приоритеты
player_slot 2: вово
player_slot 2: асхахсхса
player_slot 2: не так мне лина сидит пингует
player_slot 2: что бы я к вам пошел
player_slot 2: тупоголовая какая то
player_slot 129: я то ничего не стою
player_slot 129: )
player_slot 2: все вы стоите
player_slot 2: нормально так
player_slot 2: бегите
player_slot 4: лина дура
player_slot 129: ХАХАХА
player_slot 4: жк фурион
player_slot 129: у нас фурион соло фулл
player_slot 4: у фуриона мама такая классная
player_slot 4: на хуе вертится
player_slot 4: моем
player_slot 129: я ипал
player_slot 129: за что меня всегда
player_slot 129: первого
player_slot 128: раньше на 7 сек зевс
player_slot 129: ПОЧЕМУ МЕНЯЯЯЯ
player_slot 4: аппарат 0
player_slot 4: таверы в крысу ток ломает
player_slot 4: чепух
player_slot 4: апарат слышишь свист
player_slot 4: ракета летит
player_slot 129: АХХАХАХАХАХА
player_slot 3: кукарику
player_slot 128: профет, роблю роботу за тебе 
player_slot 4: робишь ты себя
player_slot 129: аппарат добрый
player_slot 3: молчи шлющка иди на заводе рубичь
player_slot 129: украинцы злые обычно
player_slot 128: хускар іду за тобою 
player_slot 129: бл случайно
player_slot 132: gg
player_slot 4: 0
player_slot 129: gg
player_slot 3: в 3 соло
player_slot 2: тима гениев
player_slot 128: rths
player_slot 2: гениииии
player_slot 129: {F{F{F
",Moderate Toxicity,4
7510726914,"player_slot 128: бегите я конченный 
player_slot 128: меня не навидит мир 
player_slot 2: ???
player_slot 129: я срать хочу гандоны
player_slot 130: Я ЩЯС ОБОССУСЬ ИДИОТЫ
player_slot 130: ДАУНЫ
player_slot 1: ливните, мы подержим 
player_slot 130: СУКА В РОТ БЫ ТЕБЕ НАССАЛА
player_slot 130: Я ЗЛА ЛУЧШЕ ДАЙТЕ ПОССАТЬ
player_slot 130: РУЧЕЙ
player_slot 130: ВОДА
player_slot 130: МОЧА
player_slot 130: В РОТ СЕЛЕДКИ
player_slot 0: а я че ??? для тебя никто?
player_slot 130: ХОЧУ ССАТЬ
player_slot 0: уффффффффффффффффффф
player_slot 2: каково однокнопочным живётся? 
player_slot 130: А Я ГОВОРИЛА ДАЙТЕ ПОССАТЬ
player_slot 130: НО НЕТ 
player_slot 130: НАДО МЕНЯ ПОМУЧАТЬ
player_slot 128: ))
",Extreme Toxicity,5
7510725312,"player_slot 0: лучшие парни
player_slot 0: gg
player_slot 129: жж
",No Toxicity,1
7510724216,"player_slot 128: а
player_slot 128: у нас фул тим ливнул
player_slot 129: почему команда вся ливнула
player_slot 3: Eyb;tybt gj kfqyfv? ,hfnbr
player_slot 3: Блять
player_slot 129: ну почему я соло дожен играть
player_slot 129: ну я ебал конечно
player_slot 129: хахахах еще и вивер подключился
player_slot 3: Ну ты попал)
player_slot 129: хахаха
player_slot 129: можно рапмагу пж
player_slot 3: Ахахаха
player_slot 3: Попробуй
player_slot 129: я никогда не делал ее
player_slot 129: ахахаххахаха
player_slot 129: кого я не убивал еще
player_slot 3: Блять
player_slot 3: Иди нахуй)
player_slot 129: я в ахуе
player_slot 129: ахахахаххах
player_slot 129: аххахахаха
player_slot 3: Вон, с арбузом подерись
player_slot 129: ахаххаха
player_slot 3: Взял и на картон нападаешь
player_slot 3: Соло блять
player_slot 129: ахахахахахаха
player_slot 3: Ебанутый
player_slot 129: ахахахаххахаха
player_slot 129: да ебать
player_slot 129: команда нахуй не нужна
player_slot 129: 4 катки подряд вин 30 счет килов
player_slot 2: а ты переживал вот видищь как классно
player_slot 129: ахахаххах да
player_slot 129: лучшие
player_slot 129: вивера надо
player_slot 129: точно
player_slot 129: для рампаги
player_slot 129: да бля
player_slot 129: аахахахаххахаха
player_slot 129: у когодо тильт уже
player_slot 4: лошочек
player_slot 129: ахахахах
player_slot 129: эх
player_slot 129: почти
player_slot 129: ебать
player_slot 129: найс
player_slot 4: ура
player_slot 3: Заслуживаешь уважения
player_slot 129: спм
player_slot 129: спс
player_slot 129: а как рампагу делать что за хуйня
player_slot 3: ))
player_slot 3: Ну ты и смурф, дядя
player_slot 129: не
player_slot 129: основа
player_slot 129: 500 матчей
player_slot 3: Крайне токсичный уголек не получал?)
player_slot 129: всм
player_slot 129: скины чекай
player_slot 3: Не шаришь?
player_slot 129: в профиле
player_slot 129: да шарю
player_slot 129: я получил ебейшие тапки
player_slot 129: от кунки
player_slot 3: Я за скинами не гонюсь
player_slot 129: я гонюсь
player_slot 129: ебать что
player_slot 129: как так много домага
player_slot 129: по мне
player_slot 2: обратка
player_slot 129: это че
player_slot 129: аааа
player_slot 129: все  понял
player_slot 129: шипы
player_slot 129: да я ебал у меня в жизни ни одной рампаги нету и даже щас
player_slot 129: что за проклятие
player_slot 129: я заебался чета
player_slot 129: ну все
player_slot 129: расфидил
player_slot 129: аххаха
player_slot 129: гг
player_slot 2: я на массе
player_slot 129: хахаха
player_slot 129: хахах удачи
",Moderate Toxicity,4
7510723705,"player_slot 128: bajjitos
player_slot 130: ?
player_slot 132: gg
player_slot 132: comend'
",No Toxicity,1
7510720211,"player_slot 0: ))
player_slot 0: ))
player_slot 0: ((
player_slot 0: хпхахахахаха
player_slot 0: печалька((
player_slot 0: ))
player_slot 0: что у вас с сфом?
player_slot 0: он очень сильно чувствует
player_slot 1: ХУЛЬ ТЫ ТУТ РУКИ КРУТИШЬ?
player_slot 1: пасиба за игру
",Low Toxicity,2
7510719404,"player_slot 4: пиво все открыли?
player_slot 128: Report monkey
player_slot 4: всем спасибо
",Low Toxicity,2
7510719204,,Undetermined,0
7510716018,,Undetermined,0
7510715703,"player_slot 132: гг
",No Toxicity,1
7510714607,"player_slot 129: лох
player_slot 129: zeus idiot
player_slot 1: ff pl
player_slot 129: хуль ждете уродь
player_slot 129: вам пзд
player_slot 128: ГЕ ГЕ
player_slot 129: потно
",Moderate Toxicity,4
7510714406,"player_slot 132: Мужики
player_slot 132: Может мир? 
player_slot 2: -
player_slot 0: nea
player_slot 132: Ну и idite nahuy
player_slot 2: gg
player_slot 132: syki
",Moderate Toxicity,4
7510713900,"player_slot 2: 1000-7???? zxc
player_slot 128: пххпхпхпп
player_slot 3: 933
player_slot 4: та мне похуй
player_slot 4: я щас афк
player_slot 4: встану
player_slot 4: ты видишь ежа 
player_slot 4: моего
player_slot 4: у него 2 вещи
player_slot 4: блять
player_slot 4: он
player_slot 4: нихуя
player_slot 4: не фармит
player_slot 128: пхпхпхпхп
player_slot 129: пудж что по сборке?
player_slot 128: 1000-7??
player_slot 2: 1000-7 zxc
player_slot 128: клоун
player_slot 2: [g[g[g[g
player_slot 2: пхпххппхп
player_slot 128: 2  11
player_slot 128: 2 11
player_slot 128: ???
player_slot 129: с наступающим 
player_slot 2: и тебя
player_slot 1: GG
player_slot 129: gg
player_slot 128: gg
",Mild Toxicity,3
7510713517,"player_slot 131: damm son
player_slot 131: LOL
player_slot 129: weaver reported 
player_slot 1: бустер походу 
player_slot 128: >:(
player_slot 128: nobody cares tho :(
player_slot 129: end it fast
player_slot 129: all report weaver
player_slot 4: ?
player_slot 3: no his boost me
player_slot 131: u good bro no stress
player_slot 129: aha
player_slot 131: he boost u cos of bad acc or ?
player_slot 129: another game he be infront of u
player_slot 129: and u see 
player_slot 129: he is smurf 
player_slot 1: yes 
player_slot 4: first time in game
player_slot 129: aha
player_slot 129: ok
player_slot 3: SOLO
",Low Toxicity,2
7510713116,"player_slot 130: noob
",Low Toxicity,2
7510712919,"player_slot 129: pa from last match!
player_slot 4: uh oh
player_slot 4: Which one were you?
player_slot 129: sb
player_slot 4: Oh
player_slot 4: gg last time
player_slot 129: yeah that was actually a good game
player_slot 4: I mean I was pretty useless after that lane we were up against
player_slot 4: going a bit differently this time }:)
player_slot 4: Another rotationless lane game T-T
player_slot 129: lol
player_slot 131: gg
player_slot 4: gg
player_slot 129: gg
player_slot 3: gg
",No Toxicity,1
7595384510,"player_slot 2: 1姐不回来了？
player_slot 132: 打赏我店我坏能用语音了
",Undetermined,0
7595383315,"player_slot 4: ваще пиздец
player_slot 4: вы чё тупые нахуй
player_slot 128: АПХПАХХАП
player_slot 128: динозавр в соло
player_slot 4: 17 минута
player_slot 4: какой рошан
player_slot 128: я на 9 забирал
player_slot 4: это в турбо
player_slot 128: главное быть с отрывом
player_slot 128: нет
player_slot 128: я не играю в турбо
player_slot 4: тогда хорош
player_slot 128: турбо для уебанов
player_slot 4: бывает
player_slot 4: я в турбаче только отдыхаю
player_slot 128: он расстроился?
player_slot 3: та потомучто мид проебал и теперь плача
player_slot 128: дефолт
player_slot 130: лошок на шпаке снюса
player_slot 130: а кто
player_slot 128: изи
player_slot 3: да адуинг сьедай его айкью
player_slot 129: ахах
player_slot 128: пахпахпа
",Moderate Toxicity,4
7595377205,"player_slot 129: ?
player_slot 2: gg
player_slot 2: gg
player_slot 1: lol
player_slot 3: gg
",No Toxicity,1
7595377010,,Undetermined,0
7595372706,"player_slot 4: дщд
player_slot 4: какой смысл ?
player_slot 1: xd
player_slot 3: как же изи
player_slot 130: gg
player_slot 0: спасибо за игру
player_slot 3: гг
",No Toxicity,1
7595369416,,Undetermined,0
7595362917,"player_slot 2: все пака друзьяшки
player_slot 4: ДАЙТЕ РАМПАГУ ПОЖАЛУЙСТА(
player_slot 4: спасибо большое!
player_slot 128: гг
",No Toxicity,1
7595362117,"player_slot 2: соло нахуй
player_slot 132: мид обоссан
",Extreme Toxicity,5
7595361715,"player_slot 130: ждем
player_slot 0: не
player_slot 130: ну да
player_slot 0: у вас акс в миду это пиздец блять 
player_slot 4: пошел науй
player_slot 4: вы проебали
player_slot 0: ХЗВЫХАВАЗЪПЩАВЗ
player_slot 130: фура ты хотел снайпера?
player_slot 129: пока
player_slot 0: бб
player_slot 0: изи изи
player_slot 129: ладно я куплю топорик
player_slot 0: покупай
player_slot 129: гг изи спасибо за игру
player_slot 0: реп сф
",Extreme Toxicity,5
7595356206,"player_slot 132: 。。
player_slot 132: 这龙骑
",Undetermined,0
7595356016,"player_slot 4: gg
player_slot 0: ez mid
",Low Toxicity,2
7595353905,"player_slot 3: ломайте уже
",No Toxicity,1
7595351201,"player_slot 4: пизда тебе за моего ишака
player_slot 131: GG
",Extreme Toxicity,5
7595350817,"player_slot 0: gg
",No Toxicity,1
7595347613,,Undetermined,0
7595346911,"player_slot 0: ez mid 
player_slot 128: ur 1-4
player_slot 3: very ez
player_slot 0: ez zeus
player_slot 0: ez zeus
player_slot 0: ez zeus
player_slot 1: WHY RUBIK AND WAEVER NOT COME
player_slot 1: EZ ZEUS
player_slot 0: ez mid
player_slot 128: thats it>?
player_slot 128: giving out mid
player_slot 128: rofl
player_slot 128: 0 iq confirmed
player_slot 128: giving out rax for 1 kill haha
player_slot 128: forever herald
player_slot 130: oooo
player_slot 128: wait
player_slot 128: forever herald?
player_slot 3: for ever heralds r learning lol
player_slot 130: why so quiet?
player_slot 130: boom
player_slot 128: tadam
player_slot 3: gg
player_slot 128: forever herald lion
player_slot 128: lol
",Mild Toxicity,3
7595345704,,Undetermined,0
7595343814,"player_slot 1: gtg
player_slot 1: gg
player_slot 4: я чисто для себя поинтересоватся.... где варды ?:)))
player_slot 128: ну ты хуй
player_slot 1: орчид с 5к ммр
player_slot 1: зато саблю купил
player_slot 1: вичблейд на 30 минуте соберет
player_slot 1: на инвокере)
player_slot 1: я тавера блять соло ломаю нахуя
player_slot 1: й*
player_slot 1: ебать у вас пл еблан
player_slot 1: фри игру сам себе заруинил)0))
player_slot 130: хаххахах
player_slot 130: и где 
player_slot 130: ?
player_slot 1: нетворс
player_slot 128: реализация аегиса не удаалсь
player_slot 1: 15лвл
player_slot 130: у тебя мортра 19 лвл
player_slot 130: клоун 
player_slot 1: у тебя 15 лвл
player_slot 1: клоун
player_slot 1: на 28
player_slot 130: так я не фармил еще
player_slot 1: ты фармить заканчивать должен осел
player_slot 1: а не начинать
player_slot 1: самый высокий лвл и нетворс после мортры
player_slot 128: чума прокаст
player_slot 128: как в фильме
player_slot 1: изи соло
player_slot 1: ez
player_slot 128: фиксить надо игру говно
player_slot 1: соло
",Moderate Toxicity,4
7595334907,,Undetermined,0
7595330918,,Undetermined,0
7595321311,,Undetermined,0
